latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
41.93235185,-87.72080857,60618,1076,12002
41.94909808,-87.72281604,60618,736,12895
41.95430745,-87.71032129,60618,1164,13076
41.9413399,-87.6838854,60618,1049,11050
41.75414456,-87.58639301,60619,1253,19245
41.74062528,-87.60025812,60619,1256,19534
41.75149273,-87.58945644,60619,1228,19184
41.72846935,-87.62362203,60619,982,18777
41.73889768,-87.6218132,60619,979,17966
41.76103259,-87.60953992,60619,1078,16484
41.72259285,-87.6071198,60619,1154,20952
41.76054681,-87.5999865,60619,1164,17222
41.75752831,-87.60933263,60619,1022,17071
41.7558402,-87.68069241,60620,1641,20711
41.74895852,-87.6673302,60620,1401,19949
41.74809163,-87.63388448,60620,1033,17459
41.74324005,-87.62577864,60620,931,17432
41.74344181,-87.66692437,60620,1470,20564
41.74729378,-87.64410294,60620,1121,18270
41.75608915,-87.62891619,60620,924,16050
41.75439147,-87.63237954,60620,968,16511
41.72778392,-87.66599738,60620,1497,25019
41.75360675,-87.65630513,60620,1276,18555
41.77614174,-87.63663834,60621,944,13953
41.76928896,-87.63442618,60621,939,14548
41.76762019,-87.63315026,60621,965,14641
41.75801587,-87.63847751,60621,1006,16614
41.77323491,-87.6399994,60621,973,14530
41.77417082,-87.64443384,60621,1007,14772
41.77536175,-87.65090634,60621,1117,15827
41.77956464,-87.62682666,60621,785,13231
41.78051823,-87.64015339,60621,909,13862
41.79098141,-87.62617427,60621,800,12091
41.89030754,-87.67315233,60622,767,6344
41.89907995,-87.67983906,60622,720,6662
41.90685508,-87.69599114,60622,1164,9620
41.89460637,-87.67599654,60622,773,6565
41.90866862,-87.6734241,60622,793,7268
41.91701448,-87.66917906,60622,707,9081
41.86476062,-87.70384107,60623,761,7792
41.85965517,-87.72127144,60623,821,9591
41.84875039,-87.70843924,60623,1048,9777
41.84072489,-87.73443495,60623,1067,12764
41.85119361,-87.7241767,60623,968,10856
41.85527117,-87.71715609,60623,924,9739
41.86514051,-87.70305433,60623,793,8067
41.86210051,-87.70223214,60623,800,8310
41.85572758,-87.69884756,60623,804,8337
41.87833368,-87.73986179,60624,769,10271
41.87155459,-87.70789287,60624,633,7740
41.88437351,-87.73981067,60624,859,10892
41.87683016,-87.71978407,60624,666,8293
41.87301473,-87.7252998,60624,601,8359
41.87453478,-87.73436989,60624,647,9450
41.86950039,-87.73753484,60624,693,9696
41.87720462,-87.72390745,60624,687,8898
41.88153438,-87.71165291,60624,667,8105
41.89386307,-87.73288247,60624,1067,11296
