,latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
142,41.99298468340499,-87.6573558999799,60660,1193,15105
143,41.996192077407635,-87.65736700937,60660,1212,15433
144,41.98727624145072,-87.67228793548419,60660,1285,15765
145,41.96964046483275,-87.65202688834299,60640,948,12407
146,41.961614582169005,-87.66904096570345,60640,1109,13077
147,41.97099311439202,-87.65070310273943,60640,916,12395
148,41.969855637100466,-87.66674746399272,60640,1158,13735
149,41.97657930947884,-87.66043267409005,60640,1069,13706
150,41.97827761729455,-87.65451562327662,60640,1009,13445
151,41.98126141692746,-87.65494224886395,60640,1055,14169
152,41.962800047600695,-87.63942796436116,60640,914,11868
153,41.92218469734597,-87.66729740525801,60614,855,9208
154,41.91361489287299,-87.63685784187639,60614,776,6492
155,41.92597534431685,-87.65848360335401,60614,1020,10254
156,41.92004792489286,-87.63969069471031,60614,891,8279
157,41.91496742946856,-87.65059215126239,60614,935,8331
158,41.93037269663972,-87.63598115173586,60614,710,7672
159,41.92829233640538,-87.66178975929147,60614,1045,10259
160,41.92694355716514,-87.6416933406632,60614,807,7875
161,41.922768626466784,-87.66690640890612,60614,894,9390
162,41.9212851086394,-87.63893381765025,60614,805,8030
163,41.92012678408724,-87.63444866333406,60614,713,6600
164,41.989101928386916,-87.79795724537438,60631,1286,21246
165,42.00004450756198,-87.76359519049491,60646,1196,20482
166,41.98458056118512,-87.74108574380692,60646,1206,20410
167,42.009374802177824,-87.77363669430201,60646,1395,23393
168,41.99574593776085,-87.75721738563695,60646,1136,19831
169,42.00058828571287,-87.78275362451835,60646,1400,22053
170,42.00388191850037,-87.76360711951666,60646,1293,20964
171,41.66871884579174,-87.6270087324356,60628,1710,26110
172,41.7043630833693,-87.61880289912247,60628,1223,22021
173,41.70963531870435,-87.6397850561525,60628,1204,22645
174,41.683044330334305,-87.62858717671125,60628,1692,25133
175,41.70311282515515,-87.61785163120733,60628,1244,22238
176,41.68427962994148,-87.62546762319445,60628,1507,24185
177,41.66983386815046,-87.59972840763442,60628,1579,31461
178,41.674257179224874,-87.59849327981249,60628,1347,27433
179,41.66175322053424,-87.5995092467211,60628,1750,33022
180,41.98239945373264,-87.69679198044476,60625,1632,18638
181,41.96550942822407,-87.70268037570067,60625,1419,14860
182,41.979763593475504,-87.6813097335981,60625,1427,15790
183,41.96786344734534,-87.69744775664535,60625,1648,14707
184,41.98172941907303,-87.69908654104631,60625,1686,18911
185,41.97210011187359,-87.69716363352397,60625,1645,16039
186,41.978193839686455,-87.69385338769851,60625,1625,16771
187,41.979492023071046,-87.70464614472753,60625,1643,22028
188,41.97739863922858,-87.70344407943672,60625,1752,17375
189,41.976567176998664,-87.69577372094082,60625,1611,16685
190,41.971310904882934,-87.68190683357837,60625,1556,15528
191,41.96296577890673,-87.72290030382948,60625,1320,17673
192,41.979792459982,-87.68014891227465,60625,1418,15716
193,41.949651216505465,-87.76282745173314,60641,1279,17045
194,41.957755319832124,-87.74062920140356,60641,1055,15209
195,41.940123151135296,-87.73770128897625,60641,1207,14204
196,41.947251079985364,-87.76095270193191,60641,1323,17160
197,41.956875084759474,-87.74524534443975,60641,1064,16225
198,41.95741282011156,-87.75373772036804,60641,1124,16603
199,41.95515948548054,-87.75146206423753,60641,1163,16768
200,41.934901604002484,-87.7341817299355,60641,1349,13644
201,41.93674205714089,-87.75073021148377,60641,1389,15368
202,41.956594248249935,-87.76650262237983,60641,1277,18841
203,41.93886334018878,-87.73804177919668,60641,1143,14110
204,41.93709639160752,-87.64035169993063,60657,822,9202
205,41.948199078984665,-87.64423097458199,60657,894,9825
206,41.93952411348102,-87.65549351556191,60657,1113,10338
207,41.93500575792122,-87.6703274827786,60657,1059,10391
208,41.93740702117301,-87.65692605771004,60657,1181,10688
209,41.94215806463638,-87.66796826950248,60657,1237,11328
210,41.945403585895825,-87.6632443347814,60657,1301,11616
211,41.94537960109526,-87.6495122987423,60657,1006,10143
212,41.935052001960585,-87.64199863675664,60657,871,8478
213,41.93655445448202,-87.67684435462488,60657,1034,10211
214,41.93533221487989,-87.6707750540488,60657,1058,10418
215,41.77420998144203,-87.65441784775511,60636,1189,16280
216,41.76240565083569,-87.65440865393505,60636,1301,17735
217,41.7718294381509,-87.65980524425149,60636,1234,16573
218,41.78972000941397,-87.66728117476049,60636,1217,15164
219,41.78291379564677,-87.66740718339648,60636,1280,15920
220,41.78643366920092,-87.65637036109689,60636,1140,14631
221,41.779064961077445,-87.65642889208081,60636,1178,15471
222,41.77205368972931,-87.6686848374243,60636,1322,17262
223,41.772521129417775,-87.67023841102842,60636,1353,17423
224,41.77861551282292,-87.67456552817175,60636,1388,16996
225,41.7644661607205,-87.66319387207855,60636,1348,18217
226,41.779950894116304,-87.65816052953718,60636,1287,15503
227,41.752093526079676,-87.56377041884073,60649,1434,16968
228,41.77337895405527,-87.57072893314414,60649,1098,14335
229,41.773650681421714,-87.57290172653585,60649,1074,14155
230,41.77352856898886,-87.58331546200893,60649,1107,14423
231,41.758809334162386,-87.56869085262467,60649,1380,16590
232,41.77171878825033,-87.57837110413564,60649,1118,14308
233,41.75232557669251,-87.57699600735057,60649,1416,16470
234,41.77928139772467,-87.57270564542986,60649,1125,14369
235,41.74715270100807,-87.57010238523746,60617,1525,17296
236,41.69334767557924,-87.58421638850713,60617,1388,26143
237,41.6813378381557,-87.57722996022002,60617,1508,28056
238,41.720490123664526,-87.53048326781843,60617,1416,24275
239,41.7311004007986,-87.56536315847758,60617,1253,22913
240,41.731901010612,-87.56557423283222,60617,1238,22869
241,41.71284825283661,-87.5364217670163,60617,1434,26788
242,41.717770744451435,-87.53371770396403,60617,1593,24961
243,41.71194543821447,-87.56867987430672,60617,1466,26613
244,41.74587320713205,-87.54596775746042,60617,1531,18389
245,41.744779845412,-87.58022371904099,60617,1436,21120
246,41.67681562059967,-87.53151596044425,60617,2084,35882
247,41.66728180146097,-87.57841512345416,60633,1756,29837
248,41.65230433757375,-87.53064523650428,60633,1837,34834
249,41.65975694623143,-87.54689876354098,60633,1725,32961
250,41.64549469670268,-87.55896159998204,60633,1623,33098
251,41.66454365880873,-87.56427066437956,60633,1787,33077
252,41.65046234739146,-87.58406798237125,60633,1531,31862
253,41.660493952090775,-87.57106439832175,60633,1531,31011
254,41.65046018103362,-87.5629021814784,60633,1753,33349
255,41.670698382178585,-87.56474716011418,60633,1900,30783
256,41.64962716502278,-87.57398458881748,60633,1569,31930
257,41.671199455373845,-87.59666309921607,60633,1365,27812
258,41.65973740532106,-87.5853770682708,60633,1488,29791
259,41.67308982827601,-87.53006012338543,60633,2045,35894
260,41.660336924491595,-87.64366427694401,60643,1557,30334
261,41.658177022035126,-87.64138191196423,60643,1574,30789
262,41.66196639737791,-87.64490484478254,60643,1569,30051
263,41.65949455389767,-87.64517414566419,60643,1608,30618
264,41.659970669880416,-87.64224871452453,60643,1595,30480
