,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 61015: Summary level: 860, zip code tabulation area:61015",37933.0,99887,32.8,20.4,0.0,1049,71,127,75,86,68,65,30,102,114,79,24,51,59,45,17,6,16,14,99.8,0.0,0.0,0.0,0.2,61015
"ZCTA5 61036: Summary level: 860, zip code tabulation area:61036",32150.0,86941,27.6,21.2,2.2,6414,89,352,333,300,174,148,220,466,317,250,429,502,652,772,626,357,212,215,98.3,0.4,0.0,1.0,6.7,61036
"ZCTA5 61039: Summary level: 860, zip code tabulation area:61039",32115.0,65707,27.8,11.1,1.4,953,89,107,70,36,76,92,38,64,55,43,52,46,44,61,44,14,16,6,99.4,0.0,0.0,0.5,5.4,61039
"ZCTA5 61044: Summary level: 860, zip code tabulation area:61044",30417.0,53978,35.9,18.2,0.0,272,23,30,26,12,0,7,20,16,35,15,10,32,22,2,0,12,10,0,93.0,0.0,0.0,0.0,0.0,61044
"ZCTA5 61046: Summary level: 860, zip code tabulation area:61046",30141.0,77782,35.8,12.8,4.8,2330,127,156,167,78,91,77,76,115,116,92,101,254,222,226,143,166,89,34,97.2,0.9,0.2,0.0,3.9,61046
"ZCTA5 61081: Summary level: 860, zip code tabulation area:61081",26930.0,71878,33.4,12.0,4.4,21121,1311,1249,1282,1427,1184,1116,1173,960,1751,1165,1349,1466,1497,1332,769,750,637,703,90.4,2.6,0.2,1.3,21.2,61081
"ZCTA5 61087: Summary level: 860, zip code tabulation area:61087",30625.0,62596,43.6,8.6,1.3,1563,114,101,68,88,53,60,89,29,112,134,86,76,184,92,145,55,45,32,95.4,0.9,0.1,0.6,1.9,61087
"ZCTA5 61091: Summary level: 860, zip code tabulation area:61091",19777.0,-999999999,59.0,0.0,0.0,67,0,0,0,0,28,23,0,0,0,0,0,8,8,0,0,0,0,0,100.0,0.0,0.0,0.0,41.8,61091
"ZCTA5 61114: Summary level: 860, zip code tabulation area:61114",34081.0,96767,19.7,22.3,5.4,15958,845,815,742,933,939,863,687,842,770,1099,878,1116,1262,1020,1193,508,466,980,83.7,8.6,0.0,3.7,8.7,61114
"ZCTA5 61231: Summary level: 860, zip code tabulation area:61231",29215.0,66675,37.2,13.6,2.7,5216,306,275,315,294,288,247,263,248,270,296,327,382,391,358,263,285,123,285,97.2,1.3,0.0,0.8,2.4,61231
"ZCTA5 61238: Summary level: 860, zip code tabulation area:61238",27352.0,73190,33.4,11.8,5.3,3369,120,215,251,214,203,131,184,277,194,132,308,245,204,280,149,144,68,50,96.2,1.5,0.7,0.1,1.2,61238
"ZCTA5 61241: Summary level: 860, zip code tabulation area:61241",36215.0,80810,37.3,16.8,4.8,7035,370,269,487,526,398,434,391,388,520,537,382,546,746,425,347,170,9,90,97.6,0.1,0.0,0.1,11.5,61241
"ZCTA5 61244: Summary level: 860, zip code tabulation area:61244",29242.0,64518,32.1,13.4,5.9,23361,1481,1512,1453,1204,1506,1738,1257,1589,1480,1609,1530,1204,1386,1157,1002,843,639,771,74.2,13.2,0.2,3.5,17.5,61244
"ZCTA5 61251: Summary level: 860, zip code tabulation area:61251",30795.0,102916,51.6,7.5,0.0,357,0,38,13,0,0,0,11,71,35,66,34,18,0,17,17,7,21,9,100.0,0.0,0.0,0.0,0.0,61251
"ZCTA5 61265: Summary level: 860, zip code tabulation area:61265",32010.0,71837,25.1,18.0,4.7,43472,2867,2679,2722,2203,2559,3025,2646,2844,2368,2435,2496,2978,2902,2832,2069,1478,1359,1010,83.4,5.7,0.4,2.4,17.2,61265
"ZCTA5 61272: Summary level: 860, zip code tabulation area:61272",27440.0,61128,46.0,10.1,4.1,1170,42,66,61,79,57,80,24,80,71,71,40,112,128,54,89,55,30,31,97.8,0.0,0.3,0.1,1.8,61272
"ZCTA5 61281: Summary level: 860, zip code tabulation area:61281",39470.0,82960,38.8,13.7,0.9,2460,54,128,173,175,120,86,123,104,154,152,234,294,174,167,172,66,57,27,96.6,0.9,0.0,0.3,2.3,61281
"ZCTA5 61301: Summary level: 860, zip code tabulation area:61301",27396.0,66670,32.7,13.4,6.2,9807,568,744,605,635,590,682,666,618,476,585,671,653,601,461,447,317,178,310,90.3,1.9,0.0,1.3,16.0,61301
"ZCTA5 62010: Summary level: 860, zip code tabulation area:62010",33562.0,78341,32.3,14.5,3.5,11409,632,837,827,522,437,790,828,686,720,800,715,825,699,459,471,554,246,361,96.7,1.4,0.0,0.4,1.7,62010
"ZCTA5 62015: Summary level: 860, zip code tabulation area:62015",20774.0,56107,41.3,9.5,8.9,690,35,37,77,56,52,12,9,44,50,81,17,33,65,32,50,11,13,16,98.0,0.0,0.0,0.0,0.0,62015
"ZCTA5 62040: Summary level: 860, zip code tabulation area:62040",27289.0,61909,37.3,8.4,7.4,42149,2240,2561,2569,2131,1881,2900,3151,2773,2170,2594,3165,3583,3511,2239,1827,1193,691,970,87.5,8.1,0.5,0.7,7.0,62040
"ZCTA5 62050: Summary level: 860, zip code tabulation area:62050",24511.0,59783,40.6,3.6,7.0,376,31,23,23,6,12,60,44,32,25,2,3,17,23,18,17,20,8,12,100.0,0.0,0.0,0.0,2.1,62050
"ZCTA5 62067: Summary level: 860, zip code tabulation area:62067",39242.0,92475,30.8,10.0,4.3,2202,38,68,183,163,133,53,32,54,165,312,185,119,112,246,188,75,76,0,98.5,0.0,0.0,1.5,0.0,62067
"ZCTA5 62074: Summary level: 860, zip code tabulation area:62074",36351.0,87142,28.7,6.9,2.3,1068,23,48,130,93,19,3,31,25,100,144,72,111,93,78,38,37,10,13,97.2,0.6,0.1,0.0,2.5,62074
"ZCTA5 62079: Summary level: 860, zip code tabulation area:62079",16484.0,41213,22.2,10.6,12.3,323,0,30,102,11,0,0,48,43,9,12,30,7,10,0,21,0,0,0,100.0,0.0,0.0,0.0,0.0,62079
"ZCTA5 62089: Summary level: 860, zip code tabulation area:62089",25161.0,69800,45.8,6.6,1.0,439,33,26,9,16,21,40,52,5,12,37,22,51,50,20,19,5,16,5,99.8,0.0,0.0,0.0,0.2,62089
"ZCTA5 62094: Summary level: 860, zip code tabulation area:62094",24630.0,55241,48.2,9.1,8.4,1104,33,102,116,64,75,21,42,62,77,76,105,70,61,89,38,33,15,25,98.4,0.1,0.0,0.0,1.5,62094
"ZCTA5 62242: Summary level: 860, zip code tabulation area:62242",28056.0,71516,35.9,9.4,7.9,1365,88,65,60,123,38,83,65,78,38,61,91,58,144,116,88,32,40,97,99.6,0.0,0.0,0.0,0.5,62242
"ZCTA5 62260: Summary level: 860, zip code tabulation area:62260",41699.0,95988,31.3,19.4,4.7,7537,371,401,385,571,397,291,620,465,409,640,606,509,709,419,186,172,204,182,98.5,0.5,0.0,0.0,1.4,62260
"ZCTA5 62263: Summary level: 860, zip code tabulation area:62263",37210.0,82484,34.1,17.3,4.8,4912,217,311,218,263,164,370,196,229,426,350,438,361,386,324,197,174,131,157,98.7,0.6,0.0,0.0,1.2,62263
"ZCTA5 62265: Summary level: 860, zip code tabulation area:62265",43205.0,93026,29.6,17.8,2.2,4072,249,305,265,104,136,374,324,200,50,324,357,425,252,197,218,118,100,74,91.5,5.8,0.4,0.0,4.1,62265
"ZCTA5 62278: Summary level: 860, zip code tabulation area:62278",31886.0,82226,34.8,11.3,3.5,6426,378,444,311,339,400,329,411,257,383,435,508,554,348,405,405,166,172,181,98.6,0.0,0.3,0.0,1.1,62278
"ZCTA5 62284: Summary level: 860, zip code tabulation area:62284",27500.0,53424,44.1,10.7,7.0,574,44,68,22,26,13,44,49,25,20,19,48,45,34,29,31,23,24,10,100.0,0.0,0.0,0.0,0.0,62284
"ZCTA5 62285: Summary level: 860, zip code tabulation area:62285",39114.0,110523,23.9,21.8,3.3,4510,259,289,326,303,162,292,234,217,355,475,232,244,397,167,150,175,145,88,98.4,1.0,0.0,0.3,0.4,62285
"ZCTA5 62289: Summary level: 860, zip code tabulation area:62289",23036.0,54839,38.6,6.7,8.0,330,25,31,23,27,14,12,17,14,21,17,28,29,22,13,20,8,9,0,97.9,0.0,0.0,0.0,8.8,62289
"ZCTA5 62295: Summary level: 860, zip code tabulation area:62295",37364.0,94039,35.6,21.8,4.2,1493,48,85,129,136,83,96,76,88,125,111,97,106,99,69,77,38,25,5,97.7,0.2,0.0,0.6,5.9,62295
"ZCTA5 62311: Summary level: 860, zip code tabulation area:62311",27083.0,46919,52.7,8.6,9.8,701,29,15,18,69,35,87,72,4,43,46,49,33,67,17,29,41,18,29,95.3,0.0,0.0,0.0,6.1,62311
"ZCTA5 61815: Summary level: 860, zip code tabulation area:61815",37917.0,75091,39.3,18.9,3.2,261,12,4,19,19,6,4,10,25,13,19,29,31,21,21,3,3,5,17,97.3,0.0,0.0,1.1,11.5,61815
"ZCTA5 61565: Summary level: 860, zip code tabulation area:61565",37652.0,73681,36.9,11.2,3.6,1460,61,93,96,69,43,76,48,102,92,121,118,127,114,143,64,55,23,15,99.1,0.0,0.0,0.1,1.3,61565
"ZCTA5 61610: Summary level: 860, zip code tabulation area:61610",26209.0,72726,42.7,4.9,7.1,5213,292,332,237,94,702,402,453,312,340,174,385,400,485,248,108,63,100,86,95.8,0.6,0.0,0.0,1.2,61610
"ZCTA5 61812: Summary level: 860, zip code tabulation area:61812",35500.0,94970,40.9,8.9,8.2,387,21,15,21,19,20,14,13,15,18,19,72,56,13,34,5,18,5,9,90.4,0.0,0.0,0.0,8.8,61812
"ZCTA5 61820: Summary level: 860, zip code tabulation area:61820",14135.0,44542,17.7,25.1,5.1,38393,1349,843,605,6552,14997,3747,1776,1614,973,1101,933,994,861,672,563,267,220,326,65.6,14.1,0.2,16.3,7.1,61820
"ZCTA5 61843: Summary level: 860, zip code tabulation area:61843",33194.0,83601,36.7,16.1,2.1,2494,164,234,175,142,191,170,152,140,162,187,125,158,136,106,71,62,64,55,97.0,0.3,0.0,0.2,1.9,61843
"ZCTA5 61844: Summary level: 860, zip code tabulation area:61844",29911.0,105800,44.9,5.9,4.9,755,18,40,31,54,20,27,29,23,17,46,46,135,90,83,37,23,23,13,96.8,1.5,0.3,0.0,1.3,61844
"ZCTA5 61850: Summary level: 860, zip code tabulation area:61850",25592.0,57810,45.1,6.3,17.5,450,57,14,25,25,41,13,16,8,26,37,27,29,19,38,44,9,11,11,99.3,0.0,0.0,0.0,0.2,61850
"ZCTA5 61857: Summary level: 860, zip code tabulation area:61857",22500.0,40614,25.5,30.6,2.0,144,11,12,10,8,5,6,15,5,2,10,25,10,16,4,2,3,0,0,100.0,0.0,0.0,0.0,0.0,61857
"ZCTA5 61858: Summary level: 860, zip code tabulation area:61858",32119.0,70001,42.5,9.6,3.1,2980,204,174,234,162,174,216,191,157,129,213,148,240,214,161,158,88,67,50,97.7,0.7,0.0,0.4,2.8,61858
"ZCTA5 61863: Summary level: 860, zip code tabulation area:61863",36377.0,75514,37.9,14.1,7.8,872,51,89,63,25,34,51,43,53,44,72,53,66,70,91,27,18,18,4,83.9,0.0,1.4,0.0,13.0,61863
"ZCTA5 61866: Summary level: 860, zip code tabulation area:61866",27253.0,57269,38.5,10.7,5.8,14163,1064,1480,901,1348,871,1154,763,880,703,659,862,687,864,707,370,294,270,286,68.1,23.6,0.1,2.0,11.5,61866
"ZCTA5 61910: Summary level: 860, zip code tabulation area:61910",29401.0,68704,35.8,11.1,3.6,4477,296,325,443,347,318,299,231,328,160,187,213,342,271,257,144,130,81,105,90.7,1.3,1.6,0.1,25.0,61910
"ZCTA5 61913: Summary level: 860, zip code tabulation area:61913",27004.0,56148,53.5,9.2,4.0,1410,103,46,109,105,43,102,25,88,73,51,78,153,140,112,41,62,52,27,97.7,0.0,0.1,0.4,0.6,61913
"ZCTA5 61741: Summary level: 860, zip code tabulation area:61741",32404.0,74878,49.6,9.4,4.3,1643,146,150,174,88,75,89,99,119,97,126,62,102,76,81,51,53,16,39,95.7,1.3,0.0,0.0,6.1,61741
"ZCTA5 61742: Summary level: 860, zip code tabulation area:61742",41905.0,106317,32.5,20.3,1.3,1263,67,68,71,95,115,73,39,55,57,59,106,129,88,34,137,30,27,13,99.6,0.2,0.0,0.2,0.0,61742
"ZCTA5 61750: Summary level: 860, zip code tabulation area:61750",44097.0,47633,55.6,8.6,0.0,135,6,30,11,7,0,23,19,25,0,0,0,0,11,3,0,0,0,0,86.7,0.0,0.0,0.0,2.2,61750
"ZCTA5 61759: Summary level: 860, zip code tabulation area:61759",32481.0,86166,36.9,21.6,2.4,1588,88,51,86,171,87,73,81,71,86,156,135,108,68,102,74,67,55,29,99.2,0.1,0.4,0.0,4.3,61759
"ZCTA5 61814: Summary level: 860, zip code tabulation area:61814",34722.0,71966,33.6,10.0,5.8,1072,65,65,88,74,39,40,34,77,75,41,108,90,83,58,47,45,22,21,94.5,2.7,0.0,0.9,4.4,61814
"ZCTA5 61834: Summary level: 860, zip code tabulation area:61834",28016.0,82781,39.2,9.4,5.2,8625,303,349,417,323,626,591,649,688,523,515,807,601,544,570,431,308,189,191,83.6,15.0,0.0,0.3,5.2,61834
"ZCTA5 61845: Summary level: 860, zip code tabulation area:61845",58095.0,157321,23.6,13.1,0.0,324,19,15,17,6,0,26,17,19,0,0,18,26,92,31,11,2,15,10,100.0,0.0,0.0,0.0,0.6,61845
"ZCTA5 61846: Summary level: 860, zip code tabulation area:61846",30616.0,60883,46.1,9.8,5.6,4900,286,232,379,264,299,263,216,276,395,251,202,432,457,290,274,125,157,102,93.5,4.7,0.0,0.3,1.3,61846
"ZCTA5 61851: Summary level: 860, zip code tabulation area:61851",38750.0,92763,37.7,11.5,9.4,334,18,10,24,14,16,12,17,32,28,24,34,18,25,24,8,12,16,2,100.0,0.0,0.0,0.0,0.0,61851
"ZCTA5 61873: Summary level: 860, zip code tabulation area:61873",45569.0,96879,28.5,21.1,1.8,6308,492,479,543,330,397,160,384,553,379,301,389,353,704,382,194,89,76,103,98.3,0.3,0.0,1.1,1.1,61873
"ZCTA5 61874: Summary level: 860, zip code tabulation area:61874",38634.0,84953,10.9,29.0,2.9,7982,434,420,413,504,1146,467,695,567,528,482,336,208,304,472,339,186,134,347,73.5,5.4,0.0,17.9,3.3,61874
"ZCTA5 61875: Summary level: 860, zip code tabulation area:61875",47857.0,121649,21.9,28.2,3.6,986,93,119,35,110,12,64,61,58,71,72,15,27,105,99,34,11,0,0,98.7,0.0,0.0,0.0,0.0,61875
"ZCTA5 61924: Summary level: 860, zip code tabulation area:61924",30387.0,73379,36.4,14.0,4.5,2299,116,115,134,88,109,131,165,102,97,109,243,237,115,121,108,152,51,106,99.1,0.3,0.0,0.2,0.0,61924
"ZCTA5 61930: Summary level: 860, zip code tabulation area:61930",34286.0,77242,34.2,7.8,4.5,859,65,83,33,72,54,79,64,38,55,49,63,44,63,36,22,27,10,2,99.8,0.2,0.0,0.0,3.4,61930
"ZCTA5 61931: Summary level: 860, zip code tabulation area:61931",30163.0,58410,35.6,6.1,12.8,1190,40,89,80,41,64,56,165,59,21,111,61,113,119,24,99,40,4,4,98.9,0.3,0.0,0.0,0.8,61931
"ZCTA5 61936: Summary level: 860, zip code tabulation area:61936",41759.0,97486,33.9,10.9,0.0,297,31,40,0,26,8,9,0,0,73,23,0,31,0,28,10,9,9,0,100.0,0.0,0.0,0.0,0.0,61936
"ZCTA5 61942: Summary level: 860, zip code tabulation area:61942",26361.0,65669,40.4,13.0,3.1,898,52,26,27,40,25,29,31,95,45,32,53,117,101,80,57,32,7,49,96.4,1.0,1.7,0.2,1.7,61942
"ZCTA5 61364: Summary level: 860, zip code tabulation area:61364",25968.0,60101,39.3,9.6,6.5,18908,1098,1009,1012,1046,1192,1062,780,1344,988,1233,945,1728,1537,1176,896,621,639,602,92.9,2.5,0.0,0.8,7.7,61364
"ZCTA5 61322: Summary level: 860, zip code tabulation area:61322",27654.0,65858,44.6,8.9,6.5,1601,74,136,144,138,63,69,104,159,122,115,86,81,53,91,95,38,19,14,74.8,2.9,1.0,1.1,62.2,61322
"ZCTA5 61332: Summary level: 860, zip code tabulation area:61332",28750.0,80112,45.9,2.4,0.0,125,8,8,10,12,2,0,17,6,0,17,17,3,4,3,8,2,4,4,100.0,0.0,0.0,0.0,0.0,61332
"ZCTA5 61349: Summary level: 860, zip code tabulation area:61349",36042.0,81947,36.2,12.6,6.8,948,29,35,44,88,37,66,53,37,37,94,81,81,56,65,41,33,33,38,99.2,0.8,0.0,0.0,0.3,61349
"ZCTA5 61418: Summary level: 860, zip code tabulation area:61418",31538.0,80046,31.9,19.0,7.3,576,24,5,28,37,25,8,37,20,42,38,38,54,47,67,35,23,29,19,98.8,0.0,0.0,0.0,0.0,61418
"ZCTA5 61419: Summary level: 860, zip code tabulation area:61419",27143.0,53092,34.3,16.2,0.0,118,6,3,0,0,4,17,0,7,6,3,0,10,23,12,5,9,7,6,100.0,0.0,0.0,0.0,0.0,61419
"ZCTA5 61424: Summary level: 860, zip code tabulation area:61424",22500.0,93337,35.2,0.0,0.0,119,3,16,13,18,15,13,0,20,12,0,0,3,3,0,0,3,0,0,100.0,0.0,0.0,0.0,0.0,61424
"ZCTA5 61427: Summary level: 860, zip code tabulation area:61427",31759.0,79309,40.2,16.0,6.2,2174,70,45,189,157,185,96,60,68,132,182,192,136,131,147,178,97,44,65,97.1,1.9,0.0,0.0,2.1,61427
"ZCTA5 61435: Summary level: 860, zip code tabulation area:61435",35750.0,-999999999,17.4,60.9,0.0,23,0,0,0,0,0,0,0,0,0,0,0,5,4,6,8,0,0,0,100.0,0.0,0.0,0.0,0.0,61435
