,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 62030: Summary level: 860, zip code tabulation area:62030",16033.0,36081,35.6,10.3,16.3,203,16,16,6,3,16,16,0,4,10,1,16,34,18,39,5,3,0,0,84.7,0.0,0.0,15.3,0.0,62030
"ZCTA5 62031: Summary level: 860, zip code tabulation area:62031",28382.0,70765,52.2,10.9,1.9,800,50,43,70,19,24,40,42,44,20,17,77,64,88,55,56,34,23,34,98.1,0.0,0.0,0.0,4.4,62031
"ZCTA5 62035: Summary level: 860, zip code tabulation area:62035",35468.0,84523,27.9,16.1,2.9,16080,733,976,961,749,676,938,886,766,978,996,1127,1136,1515,992,594,851,441,765,91.0,6.9,0.0,0.7,1.6,62035
"ZCTA5 62045: Summary level: 860, zip code tabulation area:62045",27010.0,76785,48.2,10.3,2.4,533,19,41,24,9,2,32,29,49,8,7,23,128,26,47,14,24,47,4,95.5,0.0,4.5,0.0,0.2,62045
"ZCTA5 62046: Summary level: 860, zip code tabulation area:62046",39671.0,74962,24.0,21.6,6.1,709,46,78,59,66,15,52,74,59,56,23,29,24,18,7,55,28,9,11,97.5,0.0,0.0,1.4,0.8,62046
"ZCTA5 62048: Summary level: 860, zip code tabulation area:62048",32831.0,66763,52.4,6.1,4.4,1965,117,206,180,131,68,160,146,144,129,110,131,122,79,38,86,57,29,32,99.3,0.0,0.0,0.0,0.3,62048
"ZCTA5 62052: Summary level: 860, zip code tabulation area:62052",30877.0,74426,37.8,14.3,2.4,12418,587,797,973,747,740,774,713,850,659,925,784,924,838,556,469,493,312,277,97.0,0.2,0.0,0.2,1.3,62052
"ZCTA5 62069: Summary level: 860, zip code tabulation area:62069",28009.0,66747,44.4,10.0,6.5,3184,126,222,158,115,153,265,179,187,149,277,240,215,340,146,146,99,70,97,98.5,0.7,0.0,0.5,0.3,62069
"ZCTA5 62088: Summary level: 860, zip code tabulation area:62088",30239.0,65013,43.0,13.6,6.0,6647,303,303,415,404,441,425,395,407,361,343,513,526,525,275,308,289,165,249,99.4,0.0,0.0,0.1,0.0,62088
"ZCTA5 62915: Summary level: 860, zip code tabulation area:62915",31094.0,65981,49.5,5.1,14.2,431,15,32,87,19,3,31,43,7,57,13,41,6,35,21,14,7,0,0,77.0,0.0,0.0,8.4,15.1,62915
